English,русский
"21,000,000,000 BTCZ","21,000,000,000 BTCZ"
Algorithm,Алгоритм
Equihash,Equihash
Fast Transactions,Быстрые транзакции
2MB every 2.5 minutes,2MB каждые 2.5 минуты
Circulating Supply,Текущая награда
"12,500 coins every 2.5 minutes","12,500 монет каждые 2.5 минуты"
Our goal is to port all best free software on the market to be able to use in BitcoinZ.,"Наша цель - перенести все лучшее бесплатное программное обеспечение на рынок, чтобы иметь возможность использовать его в BitcoinZ."
"<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Equihash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>","<p>Неизменяемые параметры:</p><p>- максимальная эмиссия</p><p>- инфляция</p><p>- только POW - мы можем изменить Equihash на другой POW алгоритм, чтобы предотвратить майнинг на ASIC </p><p>- новые возможности позволяют улучшить использование / масштабировать, но мы никогда не изменим историю (ETH/ETC case)</p>"
"<ul class=""list""> <li>Algo: Equihash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCC/BCH (BTCZ = 2MB every 2.5 mins ~ BCC/BCH = 8MB every 10 min)</li> </ul>","<ul class=""list""> <li>Алгоритм: Equihash (только GPU майнинг - мы поддерживаем децентрализацию в добыче)</li> <li>Максимальное количество монет 21 МЛРД</li> <li>Текущая награда: 12,500 монет каждые 2.5 минуты</li> <li>Текущий размер блока аналогичен BCC/BCH (BTCZ = 2MB каждые 2.5 минуты ~ BCC / BCH = 8MB каждые 10 минут)</li> </ul>"
View Forum,Сообщения форума
Why <span>BitcoinZ?</span>,Почему <span>BitcoinZ?</span>
We are a fully decentralized network,Мы полностью децентрализованная сеть
Here are some advantages,Вот некоторые преимущества
Anonymity,Анонимность
All transactions are completely anonymous.,Все транзакции полностью анонимны.
Support for different platforms,Поддержка различных платформ
"Our wallet is compatible with Linux, Windows, iOS and Android.","Наши кошельки совместимы с Linux, Windows, iOS и Android."
Community,Сообщество
"We listen to our dear community, so we can succeed.","Мы прислушиваемся к мнению сообщества, а значит добьемся успеха."
Active price growth,Активный рост стоимости
BitcoinZ is focused on organic growth.,BitcoinZ ориентирован на органический рост цены.
Exchanges,Биржи
Buy or sell your BitcoinZ coins,Покупка и продажа монет BitcoinZ
Download <span>Wallet</span>,Скачать <span>Кошелек</span>
"Linux, Windows and mobile wallets","Linux, Windows и мобильный кошелек"
Road <span>Map</span>,Дорожная <span>Карта</span>
BitcoinZ Core Client,Основное ядро BitcoinZ
Block Explorer,Проводник Block Explorer
Mining Pools,Майнинг пулы
GUI Wallet,Кошелек GUI
iOS &amp; Android Wallet,Кошелек для iOS & Android
Commerce Plugins,Плагины для торговли
Exchange Listing,Листинг на биржи
Masquerade Technology,Технология маскировки
Decentralization Packages,Децентрализованые пакеты
Game Development,Игровые разработки
zk-SNARKs From Mobile,zk-SNARKs для мобильных приложений
Public Relations,Публичные связи
why choose <span>BitcoinZ</span>,почему выбирают <span>BitcoinZ</ span>
Here are a few <span>reasons</span>,Для этого есть несколько <span>причин</span>
WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!,ПРЕДУПРЕЖДЕНИЕ: Всегда помните о подводных камнях и держите резервные копии ключей в надежном месте!
Decentralized <span>Mining</span>,Децентрализованый <span>Майнинг</span>
As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Equihash algorithm.<br>Decentralized Exchanges,"Как майнер вы не должны использовать самые большие пулы, чтобы следовать основным принципам.<br>Легкий майнинг<br>Алгоритм Equihash<br>Децентрализованные обмены"
No <span>Pre-Mine</span>,Нет <span>Пре-майна</span>
Pure coin. No pre-mine.,Чистая монета. Без предварительной добычи.
21 billion coins! Everyone in the world can have at least one BTCZ!,21 миллиард монет! Каждый в мире может иметь хотя бы один BTCZ!
Our community is actively developing and growing every day.,Наше сообщество активно развивается и растет с каждым днем.
Anonymous <span>Transactions</span>,Анонимные <span>Транзакции</span>
All transactions remain anonymous. So you do not have to worry about anonymity.,Все транзакции остаются анонимными. Поэтому вам не нужно беспокоиться об анонимности.
Android and iOS <span>Wallet</span>,Android и iOS <span>Кошелек</span>
You can use BitcoinZ coins in your smartphones.,Вы можете использовать монеты BitcoinZ в своих смартфонах.
Natural <span>Growth</span>,Естественный <span>Рост</span>
Your coin will grow and develop in a natural way.,Ваша монета будет расти в цене и развиваться естественным образом.
Decentralized <span>Development</span>,Децентрализованная <span>Разработка</span>
All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.,Все биржи разрешены. Но лучше выбирать децентрализованные. Мы планируем реализовать полностью децентрализованный обмен XCAT.
Only POW and <span>no POS</span>,Только POW и <span>никакого POS</span>
"The coin is calculated only for POW mining, and will never be changed to POS","Монета рассчитана только для добычи POW майнингом, и никогда не будет изменена на POS"
View Bitcointalk Forum Topic,Просмотр темы на Bitcointalk
Bitcointalk Forum Topic,Тема форума на Bitcointalk
BitcoinZ Community. All rights reserved.,Сообщество BitcoinZ. Все права защищены.
