"<ul class=""list""> <li>Algo: Equihash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCH (BTCZ = 2MB every 2.5 mins ~ BCH = 8MB every 10 min)</li> </ul>","<ul class=""list""> <li>Algo: Equihash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCH (BTCZ = 2MB every 2.5 mins ~ BCH = 8MB every 10 min)</li> </ul>"
View Forum,View Forum
Why <span>BitcoinZ?</span>,Why <span>BitcoinZ?</span>
We are a fully decentralized network,We are a fully decentralized network
Here are some advantages,Here are some advantages
Anonymity,Anonymity
All transactions are completely anonymous.,All transactions are completely anonymous.
Support for different platforms,Support for different platforms
"Our wallet is compatible with Linux, Windows, iOS and Android.","Our wallet is compatible with Linux, Windows, iOS and Android."
Community,Community
"We listen to our dear community, so we can succeed.","We listen to our dear community, so we can succeed."
Active price growth,Active price growth
BitcoinZ is focused on organic growth.,BitcoinZ is focused on organic growth.
Exchanges,Exchanges
Buy or sell your BitcoinZ coins,Buy or sell your BitcoinZ coins
Download <span>Wallet</span>,Download <span>Wallet</span>
"Linux, Windows and mobile wallets","Linux, Windows and mobile wallets"
Road <span>Map</span>,Road <span>Map</span>
BitcoinZ Core Client,BitcoinZ Core Client
Block Explorer,Block Explorer
Mining Pools,Mining Pools
GUI Wallet,GUI Wallet
iOS &amp; Android Wallet,iOS &amp; Android Wallet
Commerce Plugins,Commerce Plugins
Exchange Listing,Exchange Listing
Masquerade Technology,Masquerade Technology
Decentralization Packages,Decentralization Packages
Game Development,Game Development
zk-SNARKs From Mobile,zk-SNARKs From Mobile
Public Relations,Public Relations
why choose <span>BitcoinZ</span>,why choose <span>BitcoinZ</span>
Here are a few <span>reasons</span>,Here are a few <span>reasons</span>
WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!,WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!
Decentralized <span>Mining</span>,Decentralized <span>Mining</span>
As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Equihash algorithm.<br>Decentralized Exchanges,As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Equihash algorithm.<br>Decentralized Exchanges
No <span>Pre-Mine</span>,No <span>Pre-Mine</span>
Pure coin. No pre-mine.,Pure coin. No pre-mine.
21 billion coins! Everyone in the world can have at least one BTCZ!,21 billion coins! Everyone in the world can have at least one BTCZ!
Our community is actively developing and growing every day.,Our community is actively developing and growing every day.
Anonymous <span>Transactions</span>,Anonymous <span>Transactions</span>
All transactions remain anonymous. So you do not have to worry about anonymity.,All transactions remain anonymous. So you do not have to worry about anonymity.
Android and iOS <span>Wallet</span>,Android and iOS <span>Wallet</span>
You can use BitcoinZ coins in your smartphones.,You can use BitcoinZ coins in your smartphones.
Natural <span>Growth</span>,Natural <span>Growth</span>
Your coin will grow and develop in a natural way.,Your coin will grow and develop in a natural way.
Decentralized <span>Development</span>,Decentralized <span>Development</span>
All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.,All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.
Only POW and <span>no POS</span>,Only POW and <span>no POS</span>
"The coin is calculated only for POW mining, and will never be changed to POS","The coin is calculated only for POW mining, and will never be changed to POS"
View Bitcointalk Forum Topic,View Bitcointalk Forum Topic
Bitcointalk Forum Topic,Bitcointalk Forum Topic
BitcoinZ Community. All rights reserved.,BitcoinZ Community. All rights reserved.
