"English","Indonesia"
"<li>Algo: Zhash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCH (BTCZ = 2MB every 2.5 mins ~ BCH = 8MB every 10 min)</li> </ul>","<li>Algoritma : Zhash (Hanya menambang menggunakan GPU – kami mempromosikan penambangan desentralisasi)</li> <li>Total koin : 21 milyar koin </li> <li>Suplai saat ini : 12500 koin setiap 2.5 menit </li> <li>Ukuran blok saat ini mirip dengan BCC/BCH (BTCZ = 2MB setiap 2.5 menit ~ BCC/BCH = 8MB setiap 10 menit)</li> </ul>"
"View Forum","Lihat Forum"
"Why <span>BitcoinZ?</span>","Kenapa<span>BitcoinZ?</span>"
"We are a fully decentralized network","Kami sepenuhnya jaringan desentralisasi"
"Here are some advantages","Inilah beberapa kelebihannya"
"Anonymity","Anonim"
"All transactions are completely anonymous.","Semua transaksi benar – benar anonim"
"Support for different platforms","Mendukung platform yang berbeda"
"Our wallet is compatible with Linux, Windows, iOS and Android.","Dompet kami dapat berjalan dengan baik di mac, linux, windows, ios dan android. Kami akan terus berbenah diri."
"Community","Komunitas"
"We listen to our dear community, so we can succeed.","Kami mendengarkan komunitas sehingga kami akan berhasil"
"Active price growth","Harga terus berkembang"
"BitcoinZ is focused on organic growth.","BitcoinZ focus pada pertumbuhan organik"
"Exchanges","Pertukaran"
"Buy or sell your BitcoinZ coins","Beli atau jual BitcoinZ mu"
"Download <span>Wallet</span>","Unduh <span>Wallet</span>"
"Linux, Windows and mobile wallets","Linux, Windows, dan dompet seluler"
"Road <span>Map</span>","Jalan <span>Peta</span>"
"BitcoinZ Core Client","BitcoinZ Core Client"
"Block Explorer","Blokir Penjelajah"
"Mining Pools","Pertambangan Penambangan"
"GUI Wallet","Dompet GUI"
"iOS &amp; Android Wallet","iOS &amp; Android Dompet"
"Commerce Plugins","Plugin Perdagangan"
"Exchange Listing","Daftar Exchange"
"Masquerade Technology","Teknologi Masquerade"
"Decentralization Packages","Paket Desentralisasi"
"Game Development","Pengembangan Game"
"zk-SNARKs From Mobile","zk-SNARKs Dari Seluler"
"Public Relations","Hubungan Masyarakat"
"why choose <span>BitcoinZ</span>","mengapa memilih <span>BitcoinZ</span>"
"Here are a few <span>reasons</span>","Berikut adalah beberapa <span>alasan</span>"
"WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!","PERINGATAN: Selalu ingat tentang perangkap dan simpan kunci cadangan Anda di tempat yang aman!"
"Decentralized <span>Mining</span>","<span>Pertambangan</span> desentralisasi"
"As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Zhash algorithm.<br>Decentralized Exchanges","Sebagai penambang sebaiknya kamu tidak menggunakan pertambangan terbesar untuk mengikuti prinsip utama. <br>Mudah untuk menambang <br>Algoritma Zhash <br>Pertukaran Desentralisasi"
"No <span>Pre-Mine</span>","Tidak ada <span>pra-tambang</span>"
"Pure coin. No pre-mine.","Koin Murni. Tanpa Pra-Tambang"
"21 billion coins! Everyone in the world can have at least one BTCZ!","21 milyar koin ! Semua orang di seluruh dunia dapat memiliki setidaknya satu BTCZ!"
"Our community is actively developing and growing every day.","Komunitas kita aktif dan berkembang setiap hari"
"Anonymous <span>Transactions</span>","<span>Transaksi</span> anonim"
"All transactions remain anonymous. So you do not have to worry about anonymity.","Semua transaksi tetap anonim. Jadi Anda tidak perlu khawatir tentang anonimitas"
"Android and iOS <span>Wallet</span>","Android dan iOS <span>Wallet</span>"
"You can use BitcoinZ coins in your smartphones.","Gunakan BitcoinZ di Smartphonemu"
"Natural <span>Growth</span>","<span>Berkembang</span> alami"
"Your coin will grow and develop in a natural way.","Koinmu akan tumbuh dan berkembang secara alami."
"Decentralized <span>Development</span>","<span>Pengembangan</span> desentralisasi"
"All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.","Semua pertukaran diijinkan. Yang terbaik adalah desentralisasi. Kami berencana untuk sepenuhnya desentralisasi"
"Only POW and <span>no POS</span>","Hanya POW dan <span>tidak POS</span>"
"The coin is calculated only for POW mining, and will never be changed to POS","Koin dikalkulasi hanya menggunakan pertambangan POW dan tidak akan pernah berubah menjadi POS"
"View Bitcointalk Forum Topic","Lihat Topik Forum Bitcointalk"
"Bitcointalk Forum Topic","Bitcointalk"
"BitcoinZ Community. All rights reserved.","Komunitas BitcoinZ. Seluruh hak cipta"
"For informational purposes only. Trade at your own risk - never trade more than you can afford to lose.", "Hanya untuk tujuan informasi. Bertransaksi dengan resiko Anda sendiri - jangan pernah berdagang lebih dari yang Anda sanggupi untuk kalah."
"introducing <span>txtZ</span>","Temukan layanan <span>txtZ</span>"
"send and receive BTCZ using SMS text","Kirim dan terima BTCZ melalui SMS"
"No Install Required","Tidak diperlukan instalasi"
"No Smartphone required","Tidak perlu untuk smartphone"
"Send BTCZ to anyone's cell phone using text messaging","Kirim BTCZ ke siapa pun yang menggunakan pesan teks."
"Works with any cellphone that supports SMS","Bekerja dengan ponsel yang mendukung SMS"
"Send both Transparent and Private Z Transactions","Kirim Transaksi Trans Transparan dan Pribadi"
"Click here to watch the TxtZ Announcement on Youtube","Klik di sini untuk menyaksikan Pengumuman TxtZ di Youtube"
