English,Português
Max Supply,Núm máximo de moedas
"21,000,000,000 BTCZ","21 000 000 000 BTCZ"
Algorithm,Algoritmo
PoW,Zhash
Fast Transactions,Transações rápidas
2MB every 2.5 minutes,2 MB a cada 2,5 minutos
Circulating Supply,Prêmios por block
"12,500 coins every 2.5 minutes","12.500 moedas a cada 2,5 min"
Our goal is to port all best free software on the market to be able to use in BitcoinZ.,Nosso objetivo é portar todos os melhores softwares grátis do mercado para poder usar no BitcoinZ.
"<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Zhash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>","<p>Parâmetros imutáveis: <br/> - Número máximo de moedas <br/> - Inflação <br/> - Somente o algo POW <br/> - Podemos mudar o algo Zhash para outro algo POW para evitar mineração em usando ASIC <br/> - Novas funcionalidades estão autorizadas a melhorar o uso / evolução, mas nunca mudaremos o histórico (caso ETH / ETC) "
"<li>Algo: Zhash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCH (BTCZ = 2MB every 2.5 mins ~ BCH = 8MB every 10 min)</li> </ul>","<li>Algo: Zhash (Mineração apenas por GPU - Promovemos a descentralização na mineração) </li> <li> Número máximo de 21 bilhões de moedas </li> <li> Recompensa atual: 12.500 moedas a cada 2,5 minutos </li> <li> O tamanho de um bloco é semelhante ao BCH (BTCZ = 2MB a cada 2,5 minutos ~ BCH = 8MB a cada 10 minutos) </li> </ul> "
View Forum,Ver fórum
Why <span>BitcoinZ?</span>,Por quê <span>BitcoinZ ?</span>
We are a fully decentralized network,Somos uma rede totalmente descentralizada
Here are some advantages,Aqui estão algumas vantagens
Anonymity,Anonimato
All transactions are completely anonymous.,Todas as transações são completamente anônimas.
Support for different platforms,Suporte para diferentes plataformas
"Our wallet is compatible with Linux, Windows, iOS and Android.","A nossa carteira é compatível com Linux, Windows, iOS e Android ".
Community,Comunidade
"We listen to our dear community, so we can succeed.","Nos Escutamos a nossa querida comunidade, para podermos ter sucesso."
Active price growth,Crescimento ativo de preços
BitcoinZ is focused on organic growth.,O BitcoinZ se concentra no crescimento orgânico.
Exchanges,Mercados
Buy or sell your BitcoinZ coins,Compre ou venda suas moedas BitcoinZ
Download <span>Wallet</span>,Faça o download da sua <span> carteira</span>
"Linux, Windows and mobile wallets","Linux, Windows e carteira móvel"
Road <span>Map</span>,Road <span>Map</span>
BitcoinZ Core Client,Cliente BitcoinZ Core
Block Explorer,Explorador de block
Mining Pools,Pools de mineração
GUI Wallet,Carteira GUI
iOS &amp; Android Wallet,Carteira iOS &amp; Android
Commerce Plugins,Comércio Plugins
Exchange Listing,Lista does Mercados
Masquerade Technology,Tecnologia mascarada (ofuscação)
Decentralization Packages,Pacotes de descentralização
Game Development,Desenvolvimento de jogos
zk-SNARKs From Mobile,zk-SNARKs do celular
Public Relations,Relações públicas
why choose <span>BitcoinZ</span>,Por que escolher <span>BitcoinZ</span> ?
Here are a few <span>reasons</span>,Aqui estão algumas <span>razões</span>
WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!,CUIDADO: Lembre-se sempre das armadilhas e mantenha suas chaves em um local seguro!
Decentralized <span>Mining</span>,Operação <span> mineração </span> descentralizada
"As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Zhash algorithm.<br>Decentralized Exchanges","Como minerador, você não deve usar os maiores pools para seguir os fundamentos. <br> Fácil de operar <br> Algoritmo Equihash. <br> Trocas descentralizadas"
No <span>Pre-Mine</span>,Não há <span> pré-mineração </span>
Pure coin. No pre-mine.,Moeda pura. Sem pré-mineração.
21 billion coins! Everyone in the world can have at least one BTCZ!,21 bilhões de moedas! Todo o mundo podem ter pelo menos um BTCZ!
Our community is actively developing and growing every day.,Nossa comunidade está se desenvolvendo e crescendo ativamente todos os dias.
Anonymous <span>Transactions</span>,<span>Transações</span> anônima
All transactions remain anonymous. So you do not have to worry about anonymity.,Todas as transações permanecem anônimas. Então você não precisa se preocupar com o anonimato.
Android and iOS <span>Wallet</span>,<span>Carteira</span> Android e iOS 
You can use BitcoinZ coins in your smartphones.,Você pode usar moedas BitcoinZ do seu smartphone.
Natural <span>Growth</span>,<span>Crescimento</span> natural
Your coin will grow and develop in a natural way.,A sua moeda vai crescer e se desenvolver naturalmente.
Decentralized <span>Development</span>,<span>Desenvolvimento</span> descentralizado
All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.,Todas as trocas são permitidas. Os melhores são descentralizados. Planejamos estabelecer uma troca XCAT totalmente descentralizada.
Only POW and <span>no POS</span>,Somente POW e <span>sem POS</span>
"The coin is calculated only for POW mining, and will never be changed to POS","A moeda é calculada apenas para a mineração em POW e nunca será alterada para POS"
View Bitcointalk Forum Topic,Exibir tópico no fórum Bitcointalk
Bitcointalk Forum Topic,Bitcointalk
BitcoinZ Community. All rights reserved.,Comunidade BitcoinZ. Todos os direitos reservados.
"For informational purposes only. Trade at your own risk - never trade more than you can afford to lose.", "Apenas para fins informativos. Negocie por sua conta e risco - nunca invista mais do que pode perder. "
"introducing <span>txtZ</span>","Descubra o serviço <span>txtZ</span>"
"send and receive BTCZ using SMS text","Envia e receba BTCZ por SMS"
"No Install Required","Não requer instalação"
"No Smartphone required","Não requer smartphone"
"Send BTCZ to anyone's cell phone using text messaging","Envia BTCZs para qualquer telefone celular usando mensagens de texto"
"Works with any cellphone that supports SMS","Funciona com todos os telefones celulares compatíveis com SMS"
"Send both Transparent and Private Z Transactions","Enviando transferências transparentes e privadas"
"Click here to watch the TxtZ Announcement on Youtube","Clique aqui para assistir ao anúncio do TxtZ no Youtube"
