English,Slovenian
"Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack","Naša skupnost je aktivna in se konstantno razvija. <br>Sledite nam lahko na socialnih omrežjih, na forumih in tudi na Slacku"
Benefits <span>BitcoinZ</span>,Prednosti<span>BitcoinZ</span>
Max Supply,Največja zaloga kovancev
"21,000,000,000 BTCZ","21,000,000,000 BTCZ"
Algorithm,Algoritem
PoW,Zhash
Fast Transactions,Hitre transakcije
2MB every 2.5 minutes,2MB vsaki 2.5 minute
Circulating Supply,Zaloga v obtoku
"12,500 coins every 2.5 minutes","12,500 kovancev vsaki 2.5 minuti"
Our goal is to port all best free software on the market to be able to use in BitcoinZ.,"Naš cilj je, da lahko za BitcoinZ uporabite najboljšo brezplačno programsko opremo na trgu."
"<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Equihash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>","<p>Nepremostljivi parametri:</p> <p>- Največja ponudba </p> <p>- inflacija</p> <p>- samo POW algo - lahko zamenjamo Equihash algo v drugi POW algo da preprečimo ASIC rudarjenje</p> <p>-nove funkcije omogočajo izboljšanje uporabe / razširljivosti, vendar ne bomo nikoli spremenili zgodovine (primer ETH/ETC) </p>"
"<ul class=""list""> <li>Algo: Equihash (always GPU mining - we promote decentralization in mining) </li> <li>Max supply 21B coins </li> <li>Current supply: 12,500 coins every 2.5 minutes</li> <li>Current block size is similar to BCC/BCH (BTCZ = 2MB every 2.5 mins ~ BCC/BCH = 8MB every 10 min)</li> </ul>","<ul class=""list""> <li>Algo: Equihash (samo GPU rudarjenje- promoviramo decentralizacijo v rudarjenju) </li> <li>Maksimalna zaloga 21B kovancev</li> <li>Trenutna zaloga: 12,500 kovancev vsakih 2.5 minut</li> <li>trenutna velikost bloka je podobna BCC/BCH (BTCZ = 2MB vsakih 2.5 min~ BCC/BCH = 8MB vsakih 10 min)</li> </ul>"
View Forum,Preglej Forum
Why <span>BitcoinZ?</span>,Zakaj <span>BitcoinZ?</span>
We are a fully decentralized network,Smo popolnoma decentralizirana mreža
Here are some advantages,Tukaj je nekaj prednosti
Anonymity,Anonimnost
All transactions are completely anonymous.,Vse transakcije so popolnoma anonimne.
Support for different platforms,Podpora za različne platforme
"Our wallet is compatible with Linux, Windows, iOS and Android.","Denarnica je kompatibilne z Linux, Windows, iOS in Android."
Community,Skupnost
"We listen to our dear community, so we can succeed.","Prisluhnimo naši skupnost, zato lahko skupaj uspemo."
Active price growth,Aktivna rast cen
BitcoinZ is focused on organic growth.,BitcoinZ je osredotočen na organsko rast.
Exchanges,Kripto borze
Buy or sell your BitcoinZ coins,Kupi ali prodaj svoj BitcoinZ kovance
Download <span>Wallet</span>,Prenesi <span>Denarnico</span>
"Linux, Windows and mobile wallets","Linux, Windows in mobilne denarnice"
Road <span>Map</span>,Napredek <span>BitcoinZ-ja</span>
BitcoinZ Core Client,BitcoinZ Core Klienti
Block Explorer,Block Explorer
Mining Pools,Mining Pools
GUI Wallet,GUI Denarnice
iOS &amp; Android Wallet,iOS &amp; Android Denarnice
Commerce Plugins,Dodatki za trgovine
Exchange Listing,Seznam kripto borz
Masquerade Technology,Prikrita tehnologija
Decentralization Packages,Decentralizirani paketi
Game Development,Razvoj iger
zk-SNARKs From Mobile,zk-SNARKs From Mobile
Public Relations,Odnosi z javnostjo
why choose <span>BitcoinZ</span>,zakaj izbrati <span>BitcoinZ</span>
Here are a few <span>reasons</span>,Tu je nekaj <span>razlogov</span>
WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!,OPOZORILO: Vedno pomislite na pasti in hranite varnostne ključe na varnem mestu!
Decentralized <span>Mining</span>,Decentralizirano <span>Rudarjenje</span>
As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Equihash algorithm.<br>Decentralized Exchanges,Kot rudar ne smete uporabljati največjih Poolov. <br> Preprosto rudarjenje<br> Equihash algoritem. <br> Decentralizirane izmenjave
No <span>Pre-Mine</span>,Nobenega <span>Predhodnega rudarjenja</span>
Pure coin. No pre-mine.,Čisti kovanci. Ni predhodnega rudarjenja.
21 billion coins! Everyone in the world can have at least one BTCZ!,21 billion kovancev! Vsak zemljan ima lahko vsaj en BTCZ!
Our community is actively developing and growing every day.,Naša skupnost se aktivno razvija in raste vsak dan.
Anonymous <span>Transactions</span>,Anonimne <span>Transakcije</span>
All transactions remain anonymous. So you do not have to worry about anonymity.,Vse transkacije so anonimne. Lahko ste brez skrbi za vašo anonoimnost.
Android and iOS <span>Wallet</span>,Android and iOS <span>Denarnice</span>
You can use BitcoinZ coins in your smartphones.,BitcoinZ kovance lahko uporabljate na vaših pametnih telefonih.
Natural <span>Growth</span>,Naravna <span>Rast</span>
Your coin will grow and develop in a natural way.,Vaši kovanci bodo rasli in se razvijali po naravni poti.
Decentralized <span>Development</span>,Decentraliziran<span>razvoj</span>
All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.,Vse kripto borze so dovoljene. Najbolše so decentralizirane. Planiramo razvoj decentralizirane XCAT kripto borze.
Only POW and <span>no POS</span>,Samo POW in<span>nič POS</span>
"The coin is calculated only for POW mining, and will never be changed to POS","Kovanci so računani na podlagi POW rudarjenja, in ne bodo nikoli spremenjeni v POS"
View Bitcointalk Forum Topic,Poglej Bitcointalk Forum Tema
Bitcointalk Forum Topic,Bitcointalk Forum Tema
BitcoinZ Community. All rights reserved.,BitcoinZ skupnost. Vse pravice pridržane.
