English,Français
Block Explorer,Exploreur de block
Mining Pools,Pools de minage
GUI Wallet,Portefeuille GUI
iOS &amp; Android Wallet,Portefeuille iOS &amp; Android
Commerce Plugins,Commerce Plugins
Exchange Listing,Liste des Exchanges
Masquerade Technology,Technologie de mascarade (obfuscation)
Decentralization Packages,Paquets de décentralisation
Game Development,Développement de jeu
zk-SNARKs From Mobile,zk-SNARKs depuis mobile
Public Relations,Relations publiques
why choose <span>BitcoinZ</span>,Pourquoi choisir <span>BitcoinZ</span> ?
Here are a few <span>reasons</span>,Voici quelques <span>raisons</span>
WARNING: Always remember about the pitfalls and keep your backup keys in a safe place!,ATTENTION: Souvenez-vous toujours des pièges et conservez vos clés dans un endroit sûr!
Decentralized <span>Mining</span>,Exploitation <span>minière</span> décentralisée
"As a miner you should not use the biggest pools to follow main principles.<br>Easy to mine<br>Zhash algorithm.<br>Decentralized Exchanges","En tant que mineur, vous ne devriez pas utiliser les plus grandes piscines pour suivre les principes fondamentaux.<br> Facile à exploiter<br> Algorithme Equihash.<br> Échanges décentralisés"
No <span>Pre-Mine</span>,Pas de <span>pré-minage</span>
Pure coin. No pre-mine.,Pièce pure. Pas de pré-minage.
21 billion coins! Everyone in the world can have at least one BTCZ!,21 milliards de pièces ! Toutes les personnes dans le monde peut avoir au moins un BTCZ !
Our community is actively developing and growing every day.,Notre communauté se développe activement et grandit chaque jour.
Anonymous <span>Transactions</span>,<span>Transactions</span> anonymes
All transactions remain anonymous. So you do not have to worry about anonymity.,Toutes les transactions restent anonymes. Donc vous n'avez pas à vous soucier de l'anonymat.
Android and iOS <span>Wallet</span>,<span>Portefeuille</span> Android et iOS 
You can use BitcoinZ coins in your smartphones.,Vous pouvez utiliser des pièces BitcoinZ depuis votre smartphone.
Natural <span>Growth</span>,<span>Croissance</span> naturelle
Your coin will grow and develop in a natural way.,Votre pièce va grandir et se développer de manière naturelle.
Decentralized <span>Development</span>,<span>Développement</span> décentralisé
All exchanges are allowed. The best ones are decentralized. We plan to implement fully decentralized XCAT exchange.,Tous les échanges sont autorisés. Les meilleurs sont décentralisés. Nous prévoyons de mettre en place un échange XCAT totalement décentralisé.
Only POW and <span>no POS</span>,Seulement POW et <span>pas de POS</span>
"The coin is calculated only for POW mining, and will never be changed to POS","La pièce est calculée uniquement pour l'exploitation minière POW et ne sera jamais changée en POS"
View Bitcointalk Forum Topic,Voir le sujet sur le forum Bitcointalk
Bitcointalk Forum Topic,Bitcointalk
BitcoinZ Community. All rights reserved.,Communauté BitcoinZ. Tous les droits sont réservés.
"For informational purposes only. Trade at your own risk - never trade more than you can afford to lose.", "À titre informatif seulement. Tradez à vos risques et périls - N'investissez jamais plus que ce que vous pouvez vous permettre de perdre."
"introducing <span>txtZ</span>","Découvrez le service <span>txtZ</span>"
"send and receive BTCZ using SMS text","Envoyer et recevoir BTCZ par SMS"
"No Install Required","Aucune installation requise"
"No Smartphone required","Pas besoin de smartphone"
"Send BTCZ to anyone's cell phone using text messaging","Envoyez BTCZ sur n'importe quel téléphone portable à l'aide de la messagerie texte"
"Works with any cellphone that supports SMS","Fonctionne avec tous les téléphones portable compatible SMS"
"Send both Transparent and Private Z Transactions","Envoi aussi bien des transferts transparents ou privées"
"Click here to watch the TxtZ Announcement on Youtube","Cliquez ici pour regarder l'annonce de TxtZ sur Youtube"
